date,day,no.,daily increase
4/1/2020,1,234,234
4/2/2020,2,309,75
4/3/2020,3,411,102
4/4/2020,4,485,74
4/5/2020,5,571,86
4/6/2020,6,621,50
4/7/2020,7,690,69
4/8/2020,8,738,48
4/9/2020,9,834,96
4/10/2020,10,911,77
4/11/2020,11,969,58
4/12/2020,12,"1,075",106
4/13/2020,13,"1,173",98
4/14/2020,14,"1,204",31
4/15/2020,15,"1,242",38
4/16/2020,16,"1,267",25
4/17/2020,17,"1,323",56
4/18/2020,18,"1,372",49
4/19/2020,19,"1,477",105
4/20/2020,20,"1,520",43
4/21/2020,21,"1,596",76
4/22/2020,22,"1,629",33
4/23/2020,23,"1,683",54
4/24/2020,24,"1,755",72
4/25/2020,25,"1,821",66
4/26/2020,26,"1,885",64
4/27/2020,27,"1,937",52
4/28/2020,28,"2,058",121
4/29/2020,29,"2,162",104
4/30/2020,30,"2,323",161
5/1/2020,31,"2,526",203
5/2/2020,32,"2,757",231
5/3/2020,33,"3,023",266
5/4/2020,34,"3,550",527
5/5/2020,35,"4,058",508
5/6/2020,36,"4,829",771
5/7/2020,37,"5,409",580
5/8/2020,38,"6,009",600
5/9/2020,39,"6,535",526
5/10/2020,40,"7,204",669
5/11/2020,41,"8,002",798
5/12/2020,42,"8,718",716
5/13/2020,43,"9,227",509
5/14/2020,44,"9,674",447
5/15/2020,45,"10,108",434
5/16/2020,46,"10,585",477
5/17/2020,47,"11,224",639
5/18/2020,48,"11,760",536
5/19/2020,49,"12,448",688
5/20/2020,50,"13,191",743
5/21/2020,51,"13,967",776
5/22/2020,52,"14,753",786
5/23/2020,53,"15,512",759
5/24/2020,54,"16,277",765
5/25/2020,55,"17,082",805
5/26/2020,56,"17,728",646
5/27/2020,57,"18,545",817
5/28/2020,58,"19,372",827
5/29/2020,59,"20,246",874
5/30/2020,60,"21,184",938
5/31/2020,61,"22,333",1149
6/1/2020,62,"23,495",1162
6/2/2020,63,"24,586",1091
6/3/2020,64,"25,872",1286
6/4/2020,65,"27,256",1384
6/5/2020,66,"28,694",1438
6/6/2020,67,"30,152",1458
6/7/2020,68,"31,667",1515
6/8/2020,69,"33,229",1562
6/9/2020,70,"34,914",1685
6/10/2020,71,"36,841",1927
6/11/2020,72,"38,716",1875
6/12/2020,73,"40,698",1982
6/13/2020,74,"42,687",1989
6/14/2020,75,"44,661",1974
6/15/2020,76,"46,504",1843
6/16/2020,77,"48,019",1515
